title,overview,genres,poster_path,vote_average
The Host,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.","Horror, Drama, Science Fiction",/m3OE5bpcGHMWYlPkYvgIrncuuGN.jpg,6.974
Tunes,"An aspiring artist, facing failure and self-doubt, strives to create a song that could potentially change his future.","Animation, Music, Romance",/4Nn2cpnnNxO3VlxjIA3V9yHPTfT.jpg,0.0
Sex and the City 2,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down.","Comedy, Drama, Romance",/iHSRxhZsPaVuLCivvV6WEkMVGWU.jpg,6.047
Naruto Shippuden the Movie: Bonds,"A mysterious group of ninjas makes a surprise attack on the Konohagakure, which takes great damage. The nightmare of another Shinobi World War could become a reality. Sasuke, who was still a missing nin from Konoha trying to kill his brother, Itachi, appears for the second time in front of Naruto at an unknown location to prevent it from happening.","Fantasy, Animation, Action",/bBqEiQbbfyt4MWR3NhDZMbS4Wp8.jpg,7.324
The Player,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,"Mystery, Drama, Thriller, Comedy, Crime",/tZ3kDut2dhFVGkWNEn9xoCHCNAx.jpg,7.2
Twinless,"Two men who lost their respective twin brothers develop a growing friendship after meeting in a support group. However, both harbor long-hidden secrets that threaten to tear them apart.","Comedy, Drama",/9vaw9Az5tPLMjNLj426KgKsp0k8.jpg,7.269
The Killer,"While his girlfriend is away on a trip, retired assassin Bang Ui-kang is tasked with looking after her friend's 17-year-old daughter. After a street attack, Bang Ui-kang becomes embroiled in a murder investigation and dangerous trafficking gang.","Action, Crime, Thriller",/5IQqdtTq1wH5YJynx86Ysi4sDVt.jpg,7.654
There's Something About Mary,"For Ted, prom night went about as bad as it’s possible for any night to go. Thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.","Romance, Comedy",/slJD1Dvnsf15LoeqhERsyzisAdn.jpg,6.631
The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""","Comedy, Crime",/qZniBGQRESLIfxw6GeZLZ2G1osa.jpg,6.2
Lift,"An international heist crew, led by Cyrus Whitaker, race to lift $500 million in gold from a passenger plane at 40,000 feet.","Action, Comedy, Crime",/h7wJI6mctrDJ9wMbFfgrBUTn1LT.jpg,6.422
Psychedelic Heartbreak,"A depressed young man in the midst of a breakup discovers a new facility that allows him to relive his memories as many times as he likes, however this experience will take more than it gives back.","Science Fiction, Romance, Drama",/7NGLgxCE8K6A2CvWRlM2ixIYiHR.jpg,0.0
Sex Rider: Wet Highway,"On the eve of her wedding and while cheating with another man, a woman gets involved into a dangerous new world of experiences.",Thriller,/jmyo0j2HMDeFvMh5y1wFYpoxH6S.jpg,4.923
Crimson Tide,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.","Thriller, Action, Drama, War",/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg,7.186
Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.","Comedy, Science Fiction, Action, Adventure",/dPrUPFcgLfNbmDL8V69vcrTyEfb.jpg,5.894
